"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem","Mês x Variável"
"Geral, grupo, subgrupo, item e subitem","janeiro 2020",,,,,,,,"fevereiro 2020",,,,,,,,"março 2020",,,,,,,,"abril 2020",,,,,,,,"maio 2020",,,,,,,,"junho 2020",,,,,,,,"julho 2020",,,,,,,,"agosto 2020",,,,,,,,"setembro 2020",,,,,,,,"outubro 2020",,,,,,,,"novembro 2020",,,,,,,,"dezembro 2020",,,,,,,,"janeiro 2021",,,,,,,,"fevereiro 2021",,,,,,,,"março 2021",,,,,,,,"abril 2021",,,,,,,,"maio 2021",,,,,,,,"junho 2021",,,,,,,,"julho 2021",,,,,,,,"agosto 2021",,,,,,,,"setembro 2021",,,,,,,,"outubro 2021",,,,,,,,"novembro 2021",,,,,,,,"dezembro 2021",,,,,,,,"janeiro 2022",,,,,,,,"fevereiro 2022",,,,,,,,"março 2022",,,,,,,,"abril 2022",,,,,,,,"maio 2022",,,,,,,,"junho 2022",,,,,,,,"julho 2022",,,,,,,,"agosto 2022",,,,,,,,"setembro 2022",,,,,,,,"outubro 2022",,,,,,,,"novembro 2022",,,,,,,,"dezembro 2022",,,,,,,,"janeiro 2023",,,,,,,,"fevereiro 2023",,,,,,,,"março 2023",,,,,,,,"abril 2023",,,,,,,,"maio 2023",,,,,,,,"junho 2023",,,,,,,,"julho 2023",,,,,,,,"agosto 2023",,,,,,,,"setembro 2023",,,,,,,,"outubro 2023",,,,,,,,"novembro 2023",,,,,,,,"dezembro 2023",,,,,,,,"janeiro 2024",,,,,,,,"fevereiro 2024",,,,,,,,"março 2024",,,,,,,,"abril 2024",,,,,,,,"maio 2024",,,,,,,,"junho 2024",,,,,,,,"julho 2024",,,,,,,,"agosto 2024",,,,,,,,"setembro 2024",,,,,,,,"outubro 2024",,,,,,,,"novembro 2024",,,,,,,,"dezembro 2024",,,,,,,,"janeiro 2025",,,,,,,,"fevereiro 2025",,,,,,,,"março 2025",,,,,,,,"abril 2025",,,,,,,,"maio 2025",,,,,,,,"junho 2025",,,,,,,,"julho 2025",,,,,,,,"agosto 2025",,,,,,,,"setembro 2025",,,,,,,,"outubro 2025",,,,,,,,"novembro 2025",,,,,,,,"dezembro 2025",,,,,,,,"janeiro 2026",,,,,,,,"fevereiro 2026",,,,,,,,"março 2026",,,,,,,,"abril 2026",,,,,,,,"maio 2026"
"Geral, grupo, subgrupo, item e subitem","Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil",,,,,,,,"Brasil"
"Geral, grupo, subgrupo, item e subitem","IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal",,"IPCA - Variação mensal",,"IPCA - Variação acumulada no ano",,"IPCA - Variação acumulada em 12 meses",,"IPCA - Peso mensal"
"1.Alimentação e bebidas","0.39","%","0.39","%","...","","19.3483","%","0.11","%","0.50","%","...","","19.3816","%","1.13","%","1.63","%","...","","19.3545","%","1.79","%","3.45","%","...","","19.5588","%","0.24","%","3.70","%","...","","19.9696","%","0.38","%","4.09","%","...","","20.0937","%","0.01","%","4.10","%","...","","20.1194","%","0.78","%","4.91","%","...","","20.0474","%","2.28","%","7.30","%","...","","20.1553","%","1.93","%","9.37","%","...","","20.4823","%","2.54","%","12.14","%","...","","20.6985","%","1.74","%","14.09","%","14.09","%","21.0370","%","1.02","%","1.02","%","14.81","%","21.1159","%","0.27","%","1.30","%","15.00","%","21.2779","%","0.13","%","1.43","%","13.87","%","21.1537","%","0.40","%","1.83","%","12.31","%","20.9873","%","0.44","%","2.28","%","12.54","%","21.0047","%","0.43","%","2.72","%","12.59","%","20.9230","%","0.60","%","3.34","%","13.25","%","20.9005","%","1.39","%","4.77","%","13.94","%","20.8270","%","1.02","%","5.84","%","12.54","%","20.9368","%","1.17","%","7.08","%","11.71","%","20.9075","%","-0.04","%","7.04","%","8.90","%","20.8940","%","0.84","%","7.94","%","7.94","%","20.6914","%","1.11","%","1.11","%","8.04","%","20.7127","%","1.28","%","2.41","%","9.12","%","20.8296","%","2.42","%","4.89","%","11.62","%","20.8862","%","2.06","%","7.05","%","13.47","%","21.0515","%","0.48","%","7.56","%","13.51","%","21.2604","%","0.80","%","8.42","%","13.93","%","21.2610","%","1.30","%","9.83","%","14.72","%","21.2888","%","0.24","%","10.10","%","13.43","%","21.7154","%","-0.51","%","9.54","%","11.71","%","21.8516","%","0.72","%","10.32","%","11.21","%","21.8027","%","0.53","%","10.91","%","11.84","%","21.8295","%","0.66","%","11.64","%","11.64","%","21.8586","%","0.59","%","0.59","%","11.07","%","21.8645","%","0.16","%","0.76","%","9.84","%","21.8797","%","0.05","%","0.81","%","7.29","%","21.7326","%","0.71","%","1.53","%","5.88","%","21.5922","%","0.16","%","1.69","%","5.54","%","21.6157","%","-0.66","%","1.02","%","4.01","%","21.5996","%","-0.46","%","0.55","%","2.20","%","21.4729","%","-0.85","%","-0.31","%","1.08","%","21.3465","%","-0.71","%","-1.02","%","0.88","%","21.1140","%","0.31","%","-0.70","%","0.48","%","20.9114","%","0.63","%","-0.08","%","0.57","%","20.9283","%","1.11","%","1.03","%","1.03","%","21.0046","%","1.38","%","1.38","%","1.82","%","21.1197","%","0.95","%","2.34","%","2.62","%","21.3172","%","0.53","%","2.88","%","3.10","%","21.3430","%","0.70","%","3.59","%","3.08","%","21.4190","%","0.62","%","4.23","%","3.56","%","21.4858","%","0.44","%","4.70","%","4.71","%","21.5202","%","-1.00","%","3.65","%","4.15","%","21.5722","%","-0.44","%","3.20","%","4.59","%","21.2748","%","0.50","%","3.71","%","5.86","%","21.1867","%","1.06","%","4.81","%","6.65","%","21.1993","%","1.55","%","6.44","%","7.63","%","21.3060","%","1.18","%","7.69","%","7.69","%","21.5527","%","0.96","%","0.96","%","7.25","%","21.6924","%","0.70","%","1.67","%","7.00","%","21.8672","%","1.17","%","2.86","%","7.68","%","21.7355","%","0.82","%","3.70","%","7.81","%","21.8666","%","0.17","%","3.88","%","7.33","%","21.9501","%","-0.18","%","3.69","%","6.66","%","21.9292","%","-0.27","%","3.41","%","7.44","%","21.8364","%","-0.46","%","2.94","%","7.42","%","21.7224","%","-0.26","%","2.67","%","6.61","%","21.6477","%","0.01","%","2.68","%","5.50","%","21.4882","%","-0.01","%","2.67","%","3.88","%","21.4722","%","0.27","%","2.95","%","2.95","%","21.4332","%","0.23","%","0.23","%","2.20","%","21.4221","%","0.26","%","0.49","%","1.76","%","21.4014","%","1.56","%","2.07","%","2.16","%","21.3095","%","1.34","%","3.44","%","2.69","%","21.4524","%","1.33","%","4.81","%","3.87","%","21.5939","%"
"2.Habitação","0.55","%","0.55","%","...","","15.5945","%","-0.39","%","0.15","%","...","","15.6461","%","0.13","%","0.28","%","...","","15.5470","%","-0.10","%","0.18","%","...","","15.5544","%","-0.25","%","-0.07","%","...","","15.5855","%","0.04","%","-0.04","%","...","","15.6048","%","0.80","%","0.76","%","...","","15.5709","%","0.36","%","1.12","%","...","","15.6402","%","0.37","%","1.50","%","...","","15.6597","%","0.36","%","1.86","%","...","","15.6198","%","0.44","%","2.30","%","...","","15.5426","%","2.88","%","5.25","%","5.25","%","15.4721","%","-1.07","%","-1.07","%","3.56","%","15.7065","%","0.40","%","-0.67","%","4.39","%","15.4995","%","0.81","%","0.13","%","5.10","%","15.4310","%","0.22","%","0.35","%","5.43","%","15.4148","%","1.78","%","2.13","%","7.58","%","15.4010","%","1.10","%","3.26","%","8.72","%","15.5459","%","3.10","%","6.46","%","11.21","%","15.6350","%","0.68","%","7.19","%","11.57","%","15.9679","%","2.56","%","9.93","%","14.00","%","15.9375","%","1.04","%","11.07","%","14.77","%","16.1584","%","1.03","%","12.22","%","15.45","%","16.1251","%","0.74","%","13.05","%","13.05","%","16.1406","%","0.16","%","0.16","%","14.45","%","16.1423","%","0.54","%","0.70","%","14.61","%","16.0803","%","1.15","%","1.86","%","15.00","%","16.0047","%","-1.14","%","0.70","%","13.44","%","15.9317","%","-1.70","%","-1.01","%","9.57","%","15.5845","%","0.41","%","-0.61","%","8.82","%","15.2484","%","-1.05","%","-1.65","%","4.43","%","15.2109","%","0.10","%","-1.55","%","3.83","%","15.1476","%","0.60","%","-0.96","%","1.84","%","15.2117","%","0.34","%","-0.63","%","1.14","%","15.3463","%","0.51","%","-0.13","%","0.61","%","15.3072","%","0.20","%","0.07","%","0.07","%","15.3238","%","0.33","%","0.33","%","0.25","%","15.2612","%","0.82","%","1.16","%","0.53","%","15.2306","%","0.57","%","1.73","%","-0.05","%","15.2281","%","0.48","%","2.22","%","1.59","%","15.2082","%","0.67","%","2.90","%","4.03","%","15.1875","%","0.69","%","3.61","%","4.32","%","15.2544","%","-1.01","%","2.57","%","4.37","%","15.3712","%","1.11","%","3.70","%","5.42","%","15.1990","%","0.47","%","4.19","%","5.28","%","15.3320","%","0.02","%","4.21","%","4.95","%","15.3635","%","0.48","%","4.70","%","4.92","%","15.3294","%","0.34","%","5.06","%","5.06","%","15.3578","%","0.25","%","0.25","%","4.98","%","15.3241","%","0.27","%","0.52","%","4.40","%","15.2997","%","0.19","%","0.70","%","4.00","%","15.2141","%","-0.01","%","0.69","%","3.49","%","15.2173","%","0.67","%","1.37","%","3.50","%","15.1591","%","0.25","%","1.63","%","3.05","%","15.1924","%","0.77","%","2.40","%","4.90","%","15.1999","%","-0.51","%","1.88","%","3.22","%","15.2570","%","1.80","%","3.71","%","4.58","%","15.1815","%","1.49","%","5.26","%","6.12","%","15.3869","%","-1.53","%","3.64","%","4.00","%","15.5282","%","-0.56","%","3.06","%","3.06","%","15.2305","%","-3.08","%","-3.08","%","-0.36","%","15.0661","%","4.44","%","1.22","%","3.78","%","14.5800","%","0.24","%","1.47","%","3.84","%","15.0305","%","0.14","%","1.61","%","4.00","%","14.9813","%","1.19","%","2.82","%","4.53","%","14.9378","%","0.99","%","3.83","%","5.30","%","15.0764","%","0.91","%","4.77","%","5.44","%","15.1893","%","-0.90","%","3.83","%","5.03","%","15.2858","%","2.97","%","6.91","%","6.24","%","15.1636","%","-0.30","%","6.58","%","4.36","%","15.5382","%","0.52","%","7.14","%","6.54","%","15.4783","%","-0.33","%","6.79","%","6.79","%","15.5314","%","-0.11","%","-0.11","%","10.06","%","15.4290","%","0.30","%","0.19","%","5.69","%","15.3627","%","0.22","%","0.41","%","5.67","%","15.2989","%","0.63","%","1.04","%","6.19","%","15.2007","%","1.22","%","2.28","%","6.22","%","15.1949","%"
"3.Artigos de residência","-0.07","%","-0.07","%","...","","3.7529","%","-0.08","%","-0.15","%","...","","3.7423","%","-1.08","%","-1.23","%","...","","3.7298","%","-1.37","%","-2.58","%","...","","3.6874","%","0.58","%","-2.02","%","...","","3.6487","%","1.30","%","-0.74","%","...","","3.6841","%","0.90","%","0.16","%","...","","3.7222","%","0.56","%","0.72","%","...","","3.7420","%","1.00","%","1.73","%","...","","3.7537","%","1.53","%","3.28","%","...","","3.7668","%","0.86","%","4.17","%","...","","3.7917","%","1.76","%","6.00","%","6.00","%","3.7903","%","0.86","%","0.86","%","6.98","%","3.8053","%","0.66","%","1.52","%","7.78","%","3.8281","%","0.69","%","2.22","%","9.70","%","3.8203","%","0.57","%","2.80","%","11.85","%","3.8109","%","1.25","%","4.08","%","12.59","%","3.8207","%","1.09","%","5.21","%","12.35","%","3.8362","%","0.78","%","6.03","%","12.21","%","3.8569","%","0.99","%","7.08","%","12.69","%","3.8497","%","0.90","%","8.05","%","12.58","%","3.8547","%","1.27","%","9.42","%","12.30","%","3.8445","%","1.03","%","10.55","%","12.49","%","3.8453","%","1.37","%","12.07","%","12.07","%","3.8485","%","1.82","%","1.82","%","13.13","%","3.8728","%","1.76","%","3.61","%","14.37","%","3.9224","%","0.57","%","4.21","%","14.25","%","3.9522","%","1.53","%","5.81","%","15.34","%","3.9114","%","0.66","%","6.50","%","14.68","%","3.9303","%","0.55","%","7.09","%","14.07","%","3.9376","%","0.12","%","7.21","%","13.32","%","3.9325","%","0.42","%","7.66","%","12.67","%","3.9649","%","-0.13","%","7.52","%","11.52","%","3.9973","%","0.39","%","7.93","%","10.55","%","4.0039","%","-0.68","%","7.21","%","8.68","%","3.9956","%","0.64","%","7.89","%","7.89","%","3.9526","%","0.70","%","0.70","%","6.70","%","3.9531","%","0.11","%","0.81","%","4.97","%","3.9599","%","-0.27","%","0.54","%","4.09","%","3.9313","%","0.17","%","0.71","%","2.70","%","3.8931","%","-0.23","%","0.49","%","1.80","%","3.8765","%","-0.42","%","0.06","%","0.81","%","3.8587","%","0.04","%","0.10","%","0.74","%","3.8453","%","-0.04","%","0.06","%","0.28","%","3.8418","%","-0.58","%","-0.52","%","-0.17","%","3.8313","%","0.46","%","-0.06","%","-0.10","%","3.7995","%","-0.42","%","-0.48","%","0.16","%","3.8078","%","0.76","%","0.27","%","0.27","%","3.7820","%","0.22","%","0.22","%","-0.20","%","3.7896","%","-0.07","%","0.15","%","-0.38","%","3.7819","%","-0.04","%","0.11","%","-0.16","%","3.7485","%","-0.26","%","-0.15","%","-0.59","%","3.7408","%","-0.53","%","-0.68","%","-0.89","%","3.7165","%","0.19","%","-0.50","%","-0.29","%","3.6797","%","0.48","%","-0.02","%","0.16","%","3.6791","%","0.74","%","0.72","%","0.94","%","3.6830","%","-0.19","%","0.53","%","1.33","%","3.7109","%","0.43","%","0.96","%","1.30","%","3.6874","%","-0.31","%","0.65","%","1.41","%","3.6831","%","0.65","%","1.31","%","1.31","%","3.6577","%","-0.09","%","-0.09","%","0.99","%","3.6626","%","0.44","%","0.35","%","1.51","%","3.6538","%","0.13","%","0.48","%","1.69","%","3.6222","%","0.53","%","1.01","%","2.49","%","3.6067","%","-0.27","%","0.74","%","2.77","%","3.6097","%","0.08","%","0.83","%","2.66","%","3.5906","%","0.09","%","0.92","%","2.26","%","3.5850","%","-0.09","%","0.83","%","1.42","%","3.5789","%","-0.40","%","0.43","%","1.21","%","3.5799","%","-0.34","%","0.08","%","0.43","%","3.5485","%","-1.00","%","-0.91","%","-0.26","%","3.5331","%","0.64","%","-0.28","%","-0.28","%","3.4919","%","0.20","%","0.20","%","0.01","%","3.5028","%","0.13","%","0.33","%","-0.30","%","3.4983","%","0.51","%","0.84","%","0.07","%","3.4789","%","0.65","%","1.50","%","0.20","%","3.4660","%","0.08","%","1.58","%","0.54","%","3.4654","%"
